date,close,volume,day,macd,macds,macdh,rsv_9,kdjk_9,kdjk,kdjd_9,kdjd,kdjj_9,kdjj,rs_14,rsi_14,rsi,close_50_sma,ma50,close_200_sma,ma200,vix,TLT,IEF,SHY,interest_rates,benz_rate
2019-10-16,281.993,48928200.0,2.0,0.427,-0.019,0.445,-57.953,-45.969,-45.969,-55.157,-55.157,-27.592,-27.592,1.313,56.758,56.758,276.966,276.966,267.872,267.872,13.68,139.92,111.89,84.8,1.83,7.125
2019-10-17,282.825,45736600.0,3.0,0.699,0.125,0.574,-48.212,-46.717,-46.717,-52.344,-52.344,-35.463,-35.463,1.388,58.131,58.131,277.205,277.205,268.121,268.121,13.79,139.58,111.85,84.8,1.83,7.4
2019-10-18,281.587,64304000.0,4.0,0.805,0.261,0.544,-58.749,-50.727,-50.727,-51.805,-51.805,-48.572,-48.572,1.238,55.315,55.315,277.313,277.313,268.391,268.391,14.25,139.58,111.95,84.83,1.83,5.454
2019-10-21,283.496,39048600.0,0.0,1.031,0.415,0.616,-64.479,-55.311,-55.311,-52.974,-52.974,-59.987,-59.987,1.418,58.642,58.642,277.496,277.496,268.632,268.632,14.0,138.53,111.54,84.79,1.83,6.727
2019-10-22,282.57,48594700.0,1.0,1.123,0.557,0.567,-85.152,-65.258,-65.258,-57.069,-57.069,-81.638,-81.638,1.296,56.446,56.446,277.728,277.728,268.859,268.859,14.46,139.34,111.8,84.82,1.83,5.0
2019-10-23,283.392,34352200.0,2.0,1.248,0.695,0.553,-228.48,-119.666,-119.666,-77.934,-77.934,-203.129,-203.129,1.378,57.951,57.951,277.892,277.892,269.08,269.08,14.01,139.48,111.84,84.81,1.83,6.21
2019-10-24,283.855,35453100.0,3.0,1.368,0.829,0.539,-212.999,-150.777,-150.777,-102.215,-102.215,-247.9,-247.9,1.428,58.815,58.815,278.228,278.228,269.297,269.297,13.71,139.2,111.82,84.81,1.83,7.75
2019-10-25,285.017,45205400.0,4.0,1.54,0.972,0.568,-228.538,-176.697,-176.697,-127.042,-127.042,-276.006,-276.006,1.563,60.98,60.98,278.573,278.573,269.515,269.515,12.65,138.52,111.58,84.76,1.83,7.143
2019-10-28,286.624,42147000.0,0.0,1.785,1.134,0.65,-152.581,-168.658,-168.658,-140.914,-140.914,-224.146,-224.146,1.763,63.813,63.813,278.871,278.871,269.742,269.742,13.11,137.26,111.16,84.73,1.83,7.909
2019-10-29,286.539,44284900.0,1.0,1.949,1.297,0.652,-145.708,-161.008,-161.008,-147.612,-147.612,-187.8,-187.8,1.743,63.55,63.55,279.102,279.102,269.975,269.975,13.2,137.35,111.26,84.75,1.83,7.273
2019-10-30,287.418,49643900.0,2.0,2.126,1.463,0.663,-127.822,-149.946,-149.946,-148.39,-148.39,-153.058,-153.058,1.869,65.148,65.148,279.393,279.393,270.199,270.199,12.33,139.36,111.8,84.8,1.83,7.375
2019-10-31,286.652,69053800.0,3.0,2.18,1.606,0.573,-195.83,-165.241,-165.241,-154.007,-154.007,-187.708,-187.708,1.672,62.574,62.574,279.624,279.624,270.416,270.416,13.22,141.24,112.51,84.95,1.83,7.0
2019-11-01,289.308,71141500.0,4.0,2.409,1.767,0.642,-119.534,-150.005,-150.005,-152.673,-152.673,-144.669,-144.669,2.066,67.388,67.388,279.91,279.91,270.637,270.637,12.3,140.56,112.13,84.76,1.55,7.333
2019-11-04,290.47,60606900.0,0.0,2.653,1.944,0.709,-84.524,-128.178,-128.178,-144.508,-144.508,-95.518,-95.518,2.252,69.252,69.252,280.36,280.36,270.848,270.848,12.83,138.71,111.56,84.7,1.55,6.0
2019-11-05,290.149,42933200.0,1.0,2.789,2.113,0.676,-109.029,-121.795,-121.795,-136.937,-136.937,-91.511,-91.511,2.134,68.094,68.094,280.745,280.745,271.073,271.073,13.1,137.15,110.96,84.64,1.55,7.25
2019-11-06,290.215,46487100.0,2.0,2.869,2.264,0.605,-113.761,-119.117,-119.117,-130.997,-130.997,-95.357,-95.357,2.146,68.211,68.211,281.152,281.152,271.297,271.297,12.62,137.98,111.28,84.69,1.55,6.0
2019-11-07,291.236,54272300.0,3.0,2.98,2.407,0.573,-132.505,-123.58,-123.58,-128.525,-128.525,-113.69,-113.69,2.339,70.051,70.051,281.542,281.542,271.525,271.525,12.73,135.48,110.39,84.59,1.55,6.167
2019-11-08,291.954,49032100.0,4.0,3.091,2.544,0.547,-123.437,-123.532,-123.532,-126.86,-126.86,-116.875,-116.875,2.485,71.309,71.309,281.877,281.877,271.746,271.746,12.07,134.91,110.24,84.6,1.55,4.5
2019-11-11,291.396,35797300.0,0.0,3.097,2.655,0.443,-130.476,-125.847,-125.847,-126.522,-126.522,-124.495,-124.495,2.214,68.89,68.89,282.202,282.202,271.974,271.974,12.69,135.0,110.36,84.62,1.55,5.333
2019-11-12,292.011,46484600.0,1.0,3.117,2.747,0.369,-117.669,-123.121,-123.121,-125.389,-125.389,-118.585,-118.585,2.344,70.093,70.093,282.573,282.573,272.207,272.207,12.68,135.62,110.41,84.63,1.55,7.167
2019-11-13,292.105,53917700.0,2.0,3.103,2.818,0.285,-240.664,-162.302,-162.302,-137.693,-137.693,-211.52,-211.52,2.365,70.284,70.284,282.883,282.883,272.42,272.42,13.0,136.5,110.71,84.67,1.55,7.273
2019-11-14,292.53,51219900.0,3.0,3.092,2.873,0.219,-344.265,-222.956,-222.956,-166.114,-166.114,-336.641,-336.641,2.469,71.174,71.174,283.131,283.131,272.625,272.625,13.05,137.91,111.27,84.75,1.55,6.956
2019-11-15,294.647,62023600.0,4.0,3.216,2.942,0.275,-197.454,-214.455,-214.455,-182.228,-182.228,-278.91,-278.91,3.026,75.161,75.161,283.416,283.416,272.84,272.84,12.05,137.76,111.18,84.72,1.55,7.1
2019-11-18,294.865,49228000.0,0.0,3.295,3.012,0.282,-179.991,-202.967,-202.967,-189.141,-189.141,-230.62,-230.62,3.088,75.535,75.535,283.703,283.703,273.047,273.047,12.46,138.01,111.37,84.76,1.55,6.714
2019-11-19,294.779,67804700.0,1.0,3.312,3.072,0.239,-216.44,-207.458,-207.458,-195.247,-195.247,-231.881,-231.881,3.009,75.059,75.059,283.99,283.99,273.248,273.248,12.86,139.16,111.58,84.75,1.55,5.333
2019-11-20,293.683,79406200.0,2.0,3.2,3.098,0.102,-235.807,-216.908,-216.908,-202.467,-202.467,-245.79,-245.79,2.227,69.016,69.016,284.215,284.215,273.445,273.445,12.78,140.6,111.99,84.79,1.55,7.4
2019-11-21,293.211,54664700.0,3.0,3.038,3.086,-0.048,-259.394,-231.07,-231.07,-212.001,-212.001,-269.207,-269.207,1.988,66.529,66.529,284.411,284.411,273.652,273.652,13.13,139.72,111.71,84.75,1.55,4.667
2019-11-22,293.863,44850200.0,4.0,2.928,3.054,-0.126,-274.298,-245.479,-245.479,-223.161,-223.161,-290.117,-290.117,2.148,68.23,68.23,284.624,284.624,273.861,273.861,12.34,139.9,111.69,84.74,1.55,6.714
2019-11-25,296.14,48647200.0,0.0,2.991,3.042,-0.051,-201.747,-230.902,-230.902,-225.741,-225.741,-241.223,-241.223,2.749,73.329,73.329,284.899,284.899,274.081,274.081,11.87,140.31,111.74,84.75,1.55,7.375
2019-11-26,296.811,37569000.0,1.0,3.06,3.045,0.014,-182.209,-214.671,-214.671,-222.051,-222.051,-199.91,-199.91,2.94,74.621,74.621,285.174,285.174,274.288,274.288,11.54,141.13,111.95,84.79,1.55,6.0
2019-11-27,298.134,44444600.0,2.0,3.184,3.073,0.111,-170.182,-199.841,-199.841,-214.648,-214.648,-170.228,-170.228,3.346,76.988,76.988,285.472,285.472,274.497,274.497,11.75,140.72,111.66,84.74,1.55,6.8
2019-11-29,297.029,36592700.0,4.0,3.157,3.09,0.067,-187.404,-195.695,-195.695,-208.33,-208.33,-170.425,-170.425,2.451,71.025,71.025,285.748,285.748,274.703,274.703,12.62,140.42,111.57,84.77,1.55,5.0
2019-12-02,294.505,75767800.0,0.0,2.898,3.051,-0.153,-226.706,-206.032,-206.032,-207.564,-207.564,-202.968,-202.968,1.479,59.668,59.668,286.001,286.001,274.883,274.883,14.91,138.31,111.01,84.61,1.55,7.3
2019-12-03,292.53,73941700.0,1.0,2.505,2.942,-0.437,-174.845,-195.637,-195.637,-203.588,-203.588,-179.733,-179.733,1.109,52.58,52.58,286.215,286.215,275.051,275.051,15.96,141.21,112.0,84.73,1.55,6.4
2019-12-04,294.335,49080000.0,2.0,2.313,2.816,-0.504,-153.23,-181.501,-181.501,-196.226,-196.226,-152.051,-152.051,1.355,57.543,57.543,286.51,286.51,275.225,275.225,14.8,139.8,111.57,84.69,1.55,7.0
2019-12-05,294.865,40709000.0,3.0,2.178,2.689,-0.511,-146.891,-169.965,-169.965,-187.472,-187.472,-134.949,-134.949,1.433,58.902,58.902,286.782,286.782,275.407,275.407,14.52,139.12,111.31,84.65,1.55,8.25
2019-12-06,297.558,48927000.0,4.0,2.262,2.603,-0.341,-114.637,-151.522,-151.522,-175.489,-175.489,-103.588,-103.588,1.86,65.033,65.033,287.12,287.12,275.594,275.594,13.62,138.35,110.97,84.62,1.55,7.0
2019-12-09,296.622,34838500.0,0.0,2.228,2.528,-0.301,-125.841,-142.962,-142.962,-164.646,-164.646,-99.592,-99.592,1.604,61.595,61.595,287.469,287.469,275.774,275.774,15.86,138.65,111.06,84.62,1.55,4.636
2019-12-10,296.292,52649800.0,1.0,2.149,2.452,-0.303,-129.802,-138.575,-138.575,-155.956,-155.956,-103.814,-103.814,1.524,60.38,60.38,287.786,287.786,275.954,275.954,15.68,138.66,110.93,84.58,1.55,6.429
2019-12-11,297.133,53429100.0,2.0,2.13,2.388,-0.258,-122.218,-133.123,-133.123,-148.345,-148.345,-102.678,-102.678,1.66,62.411,62.411,288.186,288.186,276.139,276.139,14.99,139.75,111.39,84.65,1.55,6.875
2019-12-12,299.694,96389600.0,3.0,2.295,2.369,-0.074,-68.475,-111.574,-111.574,-136.088,-136.088,-62.545,-62.545,2.107,67.82,67.82,288.736,288.736,276.339,276.339,13.94,137.45,110.51,84.57,1.55,5.889
2019-12-13,299.873,81503900.0,4.0,2.412,2.378,0.035,-62.885,-95.344,-95.344,-122.506,-122.506,-41.019,-41.019,2.141,68.165,68.165,289.244,289.244,276.531,276.531,12.63,139.04,111.16,84.67,1.55,7.625
2019-12-16,301.933,82749700.0,0.0,2.641,2.431,0.211,-85.318,-92.002,-92.002,-112.338,-112.338,-51.329,-51.329,2.558,71.897,71.897,289.719,289.719,276.739,276.739,12.14,137.79,110.64,84.62,1.55,6.3
2019-12-17,301.999,61097700.0,1.0,2.796,2.504,0.292,-88.733,-90.912,-90.912,-105.196,-105.196,-62.344,-62.344,2.573,72.011,72.011,290.22,290.22,276.949,276.949,12.29,137.6,110.65,84.64,1.55,6.357
2019-12-18,302.018,48133000.0,2.0,2.887,2.58,0.306,-145.049,-108.958,-108.958,-106.45,-106.45,-113.973,-113.973,2.577,72.046,72.046,290.807,290.807,277.166,277.166,12.58,136.47,110.35,84.65,1.55,6.625
2019-12-19,303.256,85310500.0,3.0,3.024,2.669,0.355,-116.936,-111.617,-111.617,-108.173,-108.173,-118.507,-118.507,2.89,74.295,74.295,291.367,291.367,277.401,277.401,12.5,136.47,110.28,84.53,1.55,7.375
2019-12-20,304.586,147142100.0,4.0,3.202,2.776,0.427,-89.783,-104.339,-104.339,-106.895,-106.895,-99.228,-99.228,3.252,76.484,76.484,291.916,291.916,277.645,277.645,12.51,136.65,110.28,84.53,1.55,7.125
2019-12-23,305.051,52990000.0,0.0,3.343,2.889,0.454,-98.345,-102.341,-102.341,-105.377,-105.377,-96.27,-96.27,3.389,77.215,77.215,292.418,292.418,277.873,277.873,12.61,136.45,110.18,84.51,1.55,5.4
2019-12-24,305.061,20270000.0,1.0,3.416,2.995,0.422,-116.787,-107.156,-107.156,-105.97,-105.97,-109.529,-109.529,3.392,77.231,77.231,292.925,292.925,278.096,278.096,12.67,136.84,110.37,84.52,1.55,5.667
2019-12-26,306.685,30911200.0,3.0,3.564,3.108,0.456,-134.709,-116.341,-116.341,-109.427,-109.427,-130.168,-130.168,3.944,79.775,79.775,293.41,293.41,278.318,278.318,12.65,137.17,110.53,84.55,1.55,5.0
2019-12-27,306.609,42528800.0,4.0,3.633,3.213,0.42,-162.465,-131.715,-131.715,-116.856,-116.856,-161.433,-161.433,3.837,79.328,79.328,293.902,293.902,278.541,278.541,13.43,137.32,110.69,84.61,1.55,8.0
2019-12-30,304.918,49729100.0,0.0,3.511,3.273,0.238,-328.161,-197.197,-197.197,-143.637,-143.637,-304.319,-304.319,2.327,69.947,69.947,294.344,294.344,278.749,278.749,14.82,136.82,110.62,84.64,1.55,5.0
2019-12-31,305.659,57077300.0,1.0,3.434,3.305,0.129,-311.364,-235.253,-235.253,-174.175,-174.175,-357.407,-357.407,2.513,71.535,71.535,294.826,294.826,278.955,278.955,13.78,135.48,110.22,84.63,1.55,8.0
2020-01-02,308.517,59151200.0,3.0,3.563,3.357,0.206,-197.683,-222.73,-222.73,-190.36,-190.36,-287.469,-287.469,3.285,76.662,76.662,295.326,295.326,279.176,279.176,12.47,137.01,110.73,84.67,1.55,8.071
2020-01-03,306.181,77709700.0,4.0,3.437,3.373,0.064,-240.159,-228.539,-228.539,-203.087,-203.087,-279.445,-279.445,1.956,66.172,66.172,295.798,295.798,279.389,279.389,14.02,139.12,111.47,84.74,1.55,6.444
2020-01-06,307.349,55653900.0,0.0,3.393,3.377,0.016,-270.055,-242.378,-242.378,-216.184,-216.184,-294.766,-294.766,2.174,68.494,68.494,296.277,296.277,279.593,279.593,13.85,138.33,111.35,84.71,1.55,6.5
2020-01-07,306.485,40496400.0,1.0,3.25,3.351,-0.102,-288.285,-257.68,-257.68,-230.016,-230.016,-313.009,-313.009,1.853,64.943,64.943,296.73,296.73,279.819,279.819,13.79,137.65,111.19,84.71,1.55,7.0
2020-01-08,308.119,68296000.0,2.0,3.231,3.327,-0.096,-213.702,-243.021,-243.021,-234.351,-234.351,-260.361,-260.361,2.154,68.289,68.289,297.192,297.192,280.053,280.053,13.45,136.74,110.93,84.67,1.55,4.6
2020-01-09,310.208,48473300.0,3.0,3.347,3.331,0.015,-151.097,-212.38,-212.38,-227.027,-227.027,-183.084,-183.084,2.568,71.974,71.974,297.664,297.664,280.288,280.288,12.54,137.22,111.01,84.68,1.55,6.75
2020-01-10,309.315,53029300.0,4.0,3.328,3.331,-0.003,-148.219,-190.993,-190.993,-215.016,-215.016,-142.947,-142.947,2.157,68.321,68.321,298.119,298.119,280.526,280.526,12.56,138.44,111.25,84.7,1.55,4.667
2020-01-13,311.442,47086800.0,0.0,3.445,3.353,0.091,-111.493,-164.493,-164.493,-198.175,-198.175,-97.129,-97.129,2.568,71.972,71.972,298.6,298.6,280.769,280.769,12.32,138.02,111.12,84.69,1.55,6.25
2020-01-14,310.968,62832800.0,1.0,3.459,3.375,0.085,-113.709,-147.565,-147.565,-181.305,-181.305,-80.085,-80.085,2.337,70.032,70.032,299.086,299.086,281.002,281.002,12.39,138.73,111.34,84.7,1.55,5.79
2020-01-15,311.67,72056600.0,2.0,3.487,3.397,0.09,-100.342,-131.824,-131.824,-164.811,-164.811,-65.85,-65.85,2.48,71.267,71.267,299.533,299.533,281.223,281.223,12.42,139.65,111.62,84.74,1.55,6.7
2020-01-16,314.263,54050300.0,3.0,3.676,3.453,0.223,-57.737,-107.128,-107.128,-145.584,-145.584,-30.218,-30.218,3.05,75.308,75.308,300.009,300.009,281.455,281.455,12.32,139.21,111.39,84.74,1.55,7.125
2020-01-17,315.241,95846000.0,4.0,3.86,3.534,0.326,-70.412,-94.89,-94.89,-128.686,-128.686,-27.298,-27.298,3.281,76.642,76.642,300.511,300.511,281.691,281.691,12.1,138.02,111.3,84.77,1.55,8.0
2020-01-21,314.624,77742400.0,1.0,3.911,3.61,0.302,-84.608,-91.462,-91.462,-116.278,-116.278,-41.831,-41.831,2.835,73.927,73.927,300.999,300.999,281.92,281.92,12.85,139.47,111.74,84.79,1.55,7.432
